gid;geom;OBJECTID;CIV_1;PK_ID;Fecha_Fina;Estrategia;Programa;Zonas;Nombre_Loc;UPZ;Barrio;Mes_Report;Grupo_Cont;Ingeniero_;Director_d;TOTAL_ARE;No__HUECOS
368;0106000020E61000000100000001030000000100000012000000CCE05443B98952C04006A57CC94B124000ED5D6FBA8952C0C03F1BC3E04B12406455D22ABD8952C0C04A9105174C1240A44C2A4DBC8952C00093E570224C124050DFEA1ABC8952C04002B19A1E4C124030CA9B12BC8952C0C0E75AF81D4C124060695E10BC8952C040A199CC1D4C1240DCCD23E4BB8952C0803347171A4C1240B0830FFAB98952C040258000F14B12409C6BDEBFB98952C08099891FEC4B12407CCE54BDB98952C0C08B0BE9EB4B124030C292ADB98952C040D3BF96EA4B1240E41393E6B88952C080B0D726DB4B1240BC6EA3C4B88952C04043DE84D84B12408831AE8DB88952C0003B8B41D44B1240C4901814B88952C0805BE6D2CA4B1240C8BBCCABB88952C080646F3BCA4B1240CCE05443B98952C04006A57CC94B1240;367;19003666;91030620;Wed Feb 05 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 04;CIUDAD BOLIVAR;ARBORIZADORA;ARBORIZADORA BAJA;Febrero;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING.MARY LUZ MORA/ ING. ANGEL RICARDO IBAGON;124.05;124
369;0106000020E6100000010000000103000000010000001100000064A1D4C6878252C0400A6992FAB81240BC9EB412888252C000F9BF49F1B81240146EEC1E888252C0C02D07CBEFB812400C33E356898252C0C171A9B7F7B812409098A53F898252C0007D83BFF7B81240784CF833898252C0C04C2C02F9B812402891133F898252C0C06BCC49FAB8124008FC1B93898252C040A86924FDB812402C1FAC738A8252C080D3B69405B91240FC24F5A08B8252C0406025E710B9124080476D458F8252C000EC7C3D34B91240D09BECC78F8252C08055902F39B91240946253568F8252C040AE65EB46B912409CED80D48E8252C0408773DA41B91240888E518F8E8252C0400E4C273FB91240A475B3F0898252C0C074885710B9124064A1D4C6878252C0400A6992FAB81240;368;1006460;91011178;Mon Aug 24 00:00:00 COT 2020;Situaciones Imprevistas y Apoyo Interinstitucional;IMV-PR-003;Zona 01;USAQUEN;USAQUEN;ESCUELA DE INFANTERIA;Agosto;Parcheo;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING. ANGEL RICARDO IBAGON;25.48;25
370;0106000020E61000000100000001030000000100000034000000D08016520B8852C000D184BBED471240FCC0A8E60A8852C000AC1E56D6471240344F24F40A8852C05793F783D74712400CE4C9030B8852C00097C795D8471240FDE471160B8852C080036494D947124044C16A640B8852C081E9CC96DC47124025D11B700B8852C084A47AF7DC4712409148857C0B8852C018317E3DDD47124033AF6A890B8852C036758267DD471240E4308D960B8852C040BDBA74DD47124073720DA50B8852C028CF6761DD471240A5B133B30B8852C0EB3A122BDD47124052E8ABC00B8852C070A8FCD2DC471240CC1926CD0B8852C0E12A325BDC471240D72D58D80B8852C07B1E7AC6DB471240B0A8FFE10B8852C040A84718DB471240A04229E50B8852C080F9E1D1DA471240C1F306230C8852C00079627DD3471240E4663E3B0E8852C0C08DF99A944712408CFA4E40118852C08081F5E03747124025685647118852C0E1378EAC35471240318F6A48118852C0D5A8506D33471240E7C78343118852C0E2272F33314712401BDBC438118852C0A4C5F70D2F471240600B7A28118852C0F925E40C2D471240D4F71613118852C080732D3E2B471240601298C8118852C0C01ACF443147124074616BB6128852C0C0F1312A39471240C33B409F128852C041C972FD38471240269FEB87128852C09F0C10063947124071D0E770128852C0AA96DC4339471240006DAD5A128852C0408894B539471240511EC04C128852C0C0BF091B3A471240885B7C3F128852C040AD1E953A471240CC3DE42D128852C079D66A643B471240B4FE301E128852C080F58D573C4712400B508314128852C0011A3B133D471240F4BBF90B128852C000A995DC3D47124028B92D0B128852C04057FCF03D4712406CA54403128852C0C08959DE3E471240503147EF118852C0003B6E3541471240A4E2C1740C8852C0C03F375FE5471240AAF807700C8852C0D194CAF3E5471240B0E2566C0C8852C0C050B08FE647124048F5FFD20B8852C080D4D893FD471240BBBBA4CB0B8852C0455E694FFE47124061546DC50B8852C080D14015FF471240EE984EBD0B8852C0CE8BC48B0048124093C13DB90B8852C0199FCD1202481240357C58B90B8852C02A93359F03481240B8059EBD0B8852C080BBAE2505481240D08016520B8852C000D184BBED471240;369;18002628;417089;Tue Jun 09 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Conservacion;Zona 04;TUNJUELITO;VENECIA;SANTA LUCIA;Junio;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING. MARY LUZ MORA / ING.JESUS FORERO;124;124
371;0106000020E61000000100000001030000000100000020000000C087B773C68852C000CBEC425F67124058CE2180C68852C0C0367F2D5E671240C802F37EC68852C00015451F5E671240988052F9C68852C00164B22A5567124064EEFED1C78852C0402DB7C345671240707B4762C98852C0C04D57752B6712409CA45366C98852C040F08D302B67124044912A94C98852C000C21525286712409CA07CA0C98852C0EA1AA12C276712407322EDA9C98852C04660BD15266712403BCA32B0C98852C01931E0E824671240CAE31CB3C98852C0EFCE29AF236712408ACD94B2C98852C07E401E722267124038A89EAEC98852C0806D5B3B2167124030F23F1ACA8852C0808895B82B671240A0350B56CA8852C080909D8C31671240EBEB514ACA8852C094D54B1B316712406EF5913DCA8852C02C9D37CB3067124056BA2830CA8852C04992AB9E30671240E47A7822CA8852C04010EE9630671240B6C82515CA8852C0FCFA74B330671240CA5F4D08CA8852C0B7CACFF23067124048A349FCC98852C082B2405331671240D81D6FF1C98852C0F11421D231671240C42E0AE8C98852C0402BF46B32671240A09082ACC98852C000E9E60636671240F0D9A164C98852C040A33E613A6712404444E7EBC88852C0C0B0EB3542671240A0C4625FC88852C00057FBED4B671240A856DF26C78852C00032BE0766671240C41ABC1CC78852C0405A92E066671240C087B773C68852C000CBEC425F671240;370;8013459;91020959;Thu Jun 25 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 05;KENNEDY;CARVAJAL;ALQUERIA LA FRAGUA;Junio;Sello de Fisuras;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING.JESUS FORERO;0;0
372;0106000020E61000000100000001030000000100000040000000443533CD908652C0003AE2309B69124058D2530F918652C0C0E2D3E59269124070F71830918652C0C0C1E37891691240AC9A4F6C918652C00059E7C4906912401C157887918652C0C0D3A40291691240E419E9AF918652C0806AB2B6916912407C1564F4918652C040AA3D6193691240C8AD130E928652C0807ED2D793691240600AB52A928652C040CB7E159469124079CB7265928652C000530C9F93691240E81E1D7A928652C0C07EC86F92691240BC0D82A5928652C0C001074A906912401CCD1E89938652C0C0B732A17C69124040396412948652C000C56C437169124088D81855958652C0003BEC4956691240602193BC958652C080E22E9A4C6912401455BE1B968652C080E09FEA4169124044612B29968652C0402A490E4069124088AF6632968652C0C02ED9183E69124008274337968652C08078D7133C691240F0CA2037968652C08065B294396912408C6C1B37968652C080A9CF91396912407C7A5730968652C00081F21E376912402CDB3F30968652C0C031FB19376912406C611523968652C080474FC434691240506EEA22968652C0C01102BF34691240A435BC0F968652C04068D495326912403C3A820F968652C00019DD9032691240607AD6F6958652C0C0CC24A330691240A04EA8F6958652C0C03E53A030691240249318D9958652C0403A58FA2E691240546A3D16978652C0C0DD80343B69124080416253988652C04081A96E4769124040A66623988652C04098AA354669124014C5FEF4978652C00095AF3B456912400C8B95F4978652C000FC573A45691240B099A3C4978652C0C07A04C244691240EC03EB93978652C0C02D5ACC446912408408B193978652C000E69ECC446912409412F963978652C0C029C05945691240C8B28D63978652C0C11E3A5B45691240CC8F9635978652C000EA45694669124024041217978652C08051F3714769124000D1BBFA968652C0008844B3486912404C43FEE0968652C0C0F686284A69124060B58F9B958652C080AAD95E6669124070F1EDE6948652C04009F39374691240AC6B7E73948652C00009DA847E69124000EA1736948652C000157CCB8369124064415DE1938652C0C0FDF4118B69124020FF4DA1938652C0009EAA8C90691240F43C683E938652C0007DA11099691240D84C8830938652C0007FF63F9A6912401C56A803938652C0802F6C1E9E691240D4B272EB928652C000006C2CA06912405C1C52C8928652C080DC9DDBA2691240089209BB928652C0C0D859BAA369124068968F9A928652C0806246DBA5691240A4897981928652C0C0649B0AA76912405CE64369928652C0C0C06CC3A7691240FC202A3E928652C080296977A8691240E4B0491E928652C0C0388EF2A86912406822CEEB918652C080FB5777A8691240443533CD908652C0003AE2309B691240;371;16003073;91013582;Fri Jan 03 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Conservacion;Zona 03;PUENTE ARANDA;CIUDAD MONTES;LA ASUNCION;Enero;Sello de Fisuras;XIMENA VARGAS;ING.MARY LUZ MORA / ING. JESUS FORERO;0;0
373;0106000020E6100000010000000103000000010000000F000000B4F97C1D238952C0C05297F9FF7012403894FEE4238952C0C08797D0F270124044871893248952C0C0872B32FD701240102DB69F258952C0C01C9EC80D711240D4F77EF6258952C00063280113711240302B09C0278952C0004783F52E711240E05B92E2278952C000F2551B317112403C2951FE278952C0806B20D73271124025725936278952C000337E6D3F71124034E5CF8C258952C0C08187B82571124000FD6A80258952C0C025B6FF247112407C80F0CC248952C040E6F21C1A711240FC078073248952C000DE43B01471124024673D89238952C080FC328006711240B4F97C1D238952C0C05297F9FF701240;372;8013557;91013734;Thu Jul 09 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 05;KENNEDY;CARVAJAL;PROVIVIENDA OCCIDENTAL;Julio;Parcheo;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING.JESUS FORERO;172.5;173
374;0106000020E610000001000000010300000001000000090000000C2D03E5CE8952C08036997CA9771240D85AF740DF8952C0C02C4A647A77124064554939DF8952C0C0BBCC137C77124000488B38DF8952C08040683D7C77124078957331DF8952C000373CCC7D77124028FC90ECCE8952C0C11B5824AC7712407C7B28E8CE8952C040BEE430AC7712405860ADDFCE8952C04067F78BA97712400C2D03E5CE8952C08036997CA9771240;373;8007541;513627;Fri Jan 24 00:00:00 COT 2020;Mantenimiento Ciclorutas;Acuerdo 257/D- Cicloruta Anden;Zona 05;KENNEDY;TIMIZA;TIMIZA;Enero;Parcheo;JESICA ALEXANDRA ARDILA DÍAZ;ING. ORLANDO RIVERA/ING. SANTIAGO VARGAS;156;0
375;0106000020E61000000100000001030000000100000018000000ACCB5B3BD28152C0C0D47429EDCE12403C129B34D28152C040C0F6A8CCCE1240943B9132D28152C040C81B1CC9CE124030753B21D28152C080BCE2E6AACE124070BBA626D28152C0C0F30A2089CE12409C8C0345D28152C040F68D6667CE1240E47D356AD28152C08054C95650CE124004B30477D28152C040D5966548CE124099D95987D28152C040BC89DD1BCE1240342B3DFBD38152C040E0278D1FCE1240BD1F38E0D38152C0408B6DE534CE1240D84F82DBD38152C0C07790554CCE124048FA9FEFD38152C080E84FBD63CE1240B8D8FB27D48152C000B5806696CE124024862681D48152C0802B6932D4CE1240DCF644A4D48152C000A6B786ECCE1240C83E55A6D48152C0003D7063EDCE124054C4C2A6D48152C0C08C1291EDCE124050AF5EBCD48152C000082D72EFCE1240B01952D8D48152C04065A4F5EFCE1240D4B53A5CD28152C04096560EF0CE1240F495793ED28152C040A57A0FF0CE124014764E3CD28152C08045580BEECE1240ACCB5B3BD28152C0C0D47429EDCE1240;381;1004705;502369;Thu Jul 02 00:00:00 COT 2020;Situaciones Imprevistas y Apoyo Interinstitucional;IMV-PR-003;Zona 01;USAQUEN;USAQUEN;SAN GABRIEL NORTE;Julio;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING. MARY LUZ MORA / ING. ALEXANDER SANDOVAL;124.02;124
376;0106000020E6100000010000000103000000010000001A00000014766C922C8352C0006680646A031340D42B27FF258352C0802AC5DA5403134054DE3F2A268352C080694B0447031340F4F535F8268352C0408DE26149031340CA9B2A0D278352C0B83EB33F4A0313401BA0F723278352C04EDB9DE84A031340E078183C278352C0C07DCC584B031340B850FE902C8352C0C04835D55B031340E28D35A72C8352C0104B41FF5B0313401C0B92BD2C8352C000C39E095C031340259F9DE82C8352C01A5555C35B031340F9DC47122D8352C0132298085B031340B81D58392D8352C06B71E0DE590313400C40A95C2D8352C06251E84E58031340CC3F327B2D8352C0BB1A696456031340A4FA0D942D8352C0C076C32D540313407492125A2D8352C0C0496F016603134010138F1C2D8352C0800768EB78031340AB2BBE1B2D8352C07DC8747776031340C72FBD142D8352C0CFAF720D74031340531FB9072D8352C08B72E4BC71031340DB9A05F52C8352C0573DA9946F03134033CA1ADD2C8352C04C279DA26D0313407E5892C02C8352C0722540F36B031340D89823A02C8352C000BB65916A03134014766C922C8352C0006680646A031340;398;11014321;91011809;Sat Sep 05 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;IMV-PR-003;Zona 01;SUBA;SAN JOSE DE BAVARIA;VILLA DEL PRADO;Septiembre;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING. MARY LUZ MORA / ING.JESUS FORERO;5;5
377;0106000020E6100000010000000103000000010000007000000070824564898252C04000811379B61240D8200C9C898252C0C0CFB3D874B612402C5DB60D8B8252C08106AD3E59B61240B0963D348C8252C0003B27AC43B61240DC58A6188D8252C0816437B732B61240ACC0649E8D8252C000B1F7F927B61240C0AB17098E8252C08062C7EE1EB612409CA8CF828E8252C0C0F9E59114B6124038191C258F8252C080DB457F05B6124021B95FB28F8252C04075ECB4F6B5124075A3AB4E908252C000961156E4B512405D236FD7908252C08074C548D3B512405418AC4F918252C080A07162C1B51240FC7856A2918252C0C090FD70B3B5124034F187FF918252C0C0ED5F33A2B5124098B4283A928252C080E972BA94B5124044D5D283928252C0404C14EC82B5124034B0FAC8928252C040A3250B6FB51240F8DA17F6928252C000DE06E05FB51240BDFCBD30938252C0C100ADC147B5124078726165938252C040BCBB5E32B51240606F18BB938252C000128E4713B51240303DC1FB938252C0C1343429FBB412401085FE58948252C000B2B43AD6B4124045C8B5AB948252C040AEF54FB4B412409CBFD3DB948252C080DD4FACA4B412400C0FF717958252C000EDB94794B41240CC709D5B958252C08055A38283B4124047C39DBE958252C051B1097B6BB4124093FB5730968252C03761F8B453B4124024F2A0B0968252C080C974393CB412406F971631978252C014BD303F24B41240281674C4978252C0BB2CA5B20CB41240AC365C6A988252C04083B7A2F5B3124048043572998252C0C0684018D3B31240581D26389A8252C0C01421A0BBB3124018FB321B9B8252C0C0FA8F38A3B31240BC9ED7219C8252C080D0D51989B31240CC2A8C5D9D8252C040A8058F6CB31240101FE4649E8252C080D9889256B31240232472459F8252C01E4ECE5044B312401EB83231A08252C076D96F9E32B31240C06BCA27A18252C0808C4A8221B312405F73AF37A28252C02773E28C0FB312405547D951A38252C0AADEB538FEB21240E85BE875A48252C000FBA28BEDB21240C076180FA68252C0C0311027D7B21240D027E5FAA68252C0C0D6A366CBB2124024EAFF2EA98252C00071FF61B0B212405555DC76A98252C0000E863AACB212404C5D43BAA98252C0401BDEC0A5B21240FCFC338DAA8252C080344F0E9CB21240C0974CBFAB8252C08080EDE9B5B2124080979CB7AA8252C0C0EF6D1BC2B212402CF0B4B3AA8252C04011F8F6C0B21240EC4FD3B2AA8252C0576D9CA6C0B21240899423B1AA8252C064D19D59C0B212401E3DB1AEAA8252C08D1C0912C0B2124071F78CABAA8252C04246C6D1BFB212403A2ECCA7AA8252C0CB5F8B9ABFB21240247788A3AA8252C0FBE9D06DBFB2124068E4DE9EAA8252C08DCEC74CBFB212409C3EEF99AA8252C092415138BFB21240062CDB94AA8252C037C2F830BFB212403E4BC58FAA8252C0D463F036BFB212402847D08AAA8252C08D780F4ABFB21240A6EA1D86AA8252C0A4A6D369BFB21240363ACE81AA8252C010616495BFB21240B099FE7DAA8252C0C0AB98CBBFB212405CE6B876A98252C0809D10F8CBB21240CEB2AD73A98252C090518015CCB21240EC79FF70A98252C05EA6E63ACCB212400ED4C26EA98252C0FD422467CCB21240EDF0086DA98252C02A3FE598CCB21240A013DF6BA98252C0DB56ABCECCB21240B02C4E6BA98252C04063D906CDB2124068E35F36A78252C0C0612AE4E7B2124099A208CFA68252C0B3B7EC4BECB2124000F1ED6FA68252C080B00760F1B21240AC930A95A58252C0C0F7ADE0FBB21240DC1F5EF3A48252C080C3909F04B31240F15AFCB2A38252C04035DEC517B31240942B5130A28252C080EB6A0931B31240CC29F9BFA08252C0403FF25A4BB31240AC5AA3629F8252C040C67EAC66B3124080DE0E199E8252C0C08161F182B312405823E2E39C8252C0C0CB6F1AA0B312409458D4B89B8252C080BC073EBFB31240A8F45AA39A8252C040FD9928DFB31240F888E6A1998252C040C4721100B41240C4F47D6B998252C08056BD5708B41240D480F945988252C080003DFB34B41240FC6429E5978252C080A81A7645B41240904A80B3978252C0C0CC863C4FB41240204AD43B978252C0806221CB66B4124030FF5FAA968252C0C0A6089188B4124058A50831968252C000553BB6AAB4124020BC0FD0958252C0004D2429CDB412400C81E164948252C0C09D6D915BB5124065040039948252C040CC45CD6EB512407C73B6E8938252C00099345F88B5124090193580938252C080F88D98A1B51240D4DCD1FF928252C0003E9061BAB51240E8071468928252C080F46BA4D2B512409861684A928252C040BB98A8D6B5124080A470B9918252C040982D4AEAB51240D0A495F4908252C0C094183E01B61240F40D321A908252C040D6C26917B6124018AA0E2B8F8252C0C08FD8B92CB61240B4E20B288E8252C000086D1B41B61240E5E7797C8A8252C040F5A68287B6124070824564898252C04000811379B61240;374;2000268;521281;Thu Feb 27 00:00:00 COT 2020;Situaciones Imprevistas y Apoyo Interinstitucional;IMV-PR-003;Zona 02;CHAPINERO;EL REFUGIO;CHICO NORTE II SECTOR;Febrero;Parcheo;JESICA ALEXANDRA ARDILA DÍAZ;ING. ORLANDO RIVERA/ING. SANTIAGO VARGAS;56.17;56
378;0106000020E61000000100000001030000000100000058000000FCFC338DAA8252C080344F0E9CB21240DC35C284AC8252C000C7DBE784B21240F491E484AC8252C08089A9FC84B2124084B7AB85AC8252C0CEC4E94085B2124038320687AC8252C0A1CED28285B212408082ED88AC8252C0C03128C185B21240D8B80D89AC8252C04044EAC485B21240E0D7F48BAC8252C0F3CA720786B21240D27E7C8FAC8252C05BECB44186B21240A2768D93AC8252C0AA82317286B212402B010D98AC8252C0FDABA99786B212401789DD9CAC8252C086FB26B186B212406864DFA1AC8252C03FCE01BE86B21240B9A4F1A6AC8252C06499E5BD86B21240D5EFF2ABAC8252C07616D3B086B212400C5BC2B0AC8252C0793E209786B21240B14340B5AC8252C08414767186B21240281F4FB9AC8252C0404ECC4086B21240E0CAA902AD8252C0802A84E282B2124034949D28B08252C08032DD445DB21240BC407149B38252C040EDE66038B21240578CBCF4B48252C0D2ACB7D524B2124098AFE88FB68252C04058E5FB0FB21240153557E0B78252C0C691A4D7FCB1124071329620B98252C07C0C34A5E8B11240DCF1CC4FBA8252C0419D3E72D3B11240AC34CB93BB8252C08006F57EBAB11240A4D6CA9DBC8252C08021C8AEA5B11240D091CB9BBD8252C040DB2AFD8EB1124028A0CDCDBE8252C0001FF26672B1124030B4CF9DBF8252C0C07646D55BB112409813D9D9C08252C0C0FA441533B112403026E0B1C18252C0407552DE15B112402C79E575C28252C0406E1DE9FAB01240D89EE9BDC28252C080BF675EEDB01240C4DD18E9C28252C040D1FA17E5B012409CAAEE03C38252C0000BC6F3DFB0124010595543C38252C040926850D4B012407581394AC38252C0C0858A0CD3B01240D8DCF357C38252C0C0CC8E87D0B01240F4D4FBD7C38252C0C00CAAC1BFB01240A43C78F5C38252C0405513ACC0B01240007C986CC58252C000A4FD51CCB0124024C84454C58252C04060F288CFB01240943AEEB2C48252C000BB453AE5B0124080037357C38252C040D658F213B11240A0424081C18252C08068913452B112405C6EEBFFC08252C000088DDF62B1124004791A89C08252C08023D74870B11240C5F68B87C08252C0045EFF6D70B11240D3496186C08252C07220A69670B112406514A285C08252C03570C1C170B112408A395385C08252C0204237EE70B1124034BD7685C08252C0DFAFE41A71B1124004B70B86C08252C04067A54671B112407888045BBE8252C0C061A51AA7B112404CB0A93ABE8252C0C0E0B665A9B11240DE76C24FBD8252C0852BFDEFBDB112401E784457BC8252C0D059DAD7D1B11240D0DA9F51BB8252C0C0835214E5B11240E0093E7FBA8252C0404B6A45F4B11240CA0E977CBA8252C0A439EF53F4B1124080CC217ABA8252C08AFF7E69F4B11240D5CBF077BA8252C0FE077785F4B11240EF921476BA8252C0F06D04A7F4B11240AE289B74BA8252C06A322ACDF4B11240E8AA8F73BA8252C040B0C8F6F4B112405CB202CFB88252C0FEDCFC7C0EB21240F4D3DB1AB78252C0E860E7F726B21240C5D1C457B58252C0C009015E3EB212404C36E051B58252C0C04F19A93EB2124098D07240B58252C00056084B3FB21240546A8133B48252C0407784F949B21240B4963154B18252C0C09F229B6CB21240BC8736F3B08252C040C4CEEE72B21240340B7E92B08252C0404B7D7277B21240EC0F3B23AF8252C080C2AB9688B21240DC9BA6CFAE8252C080082F7D8CB212409FA228CAAE8252C0077E36A48CB21240F09A0CC5AE8252C0D14DD3D68CB21240ECCD6AC0AE8252C0A5E714148DB21240BC3F59BCAE8252C04024D85A8DB212408BFCEED1AD8252C0EA1B12AC98B21240D575B6F1AC8252C0A294FAC4A4B21240208E591CAC8252C00021679CB1B21240F463B9C3AB8252C0403495B5B5B21240C0974CBFAB8252C08080EDE9B5B21240FCFC338DAA8252C080344F0E9CB21240;375;2000437;521286;Thu May 14 00:00:00 COT 2020;Situaciones Imprevistas y Apoyo Interinstitucional;Ciclocarriles;Zona 02;CHAPINERO;EL REFUGIO;SEMINARIO;Mayo;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING. MARY LUZ MORA / ING. ALEXANDER SANDOVAL;144;144
379;0106000020E6100000010000000103000000010000001C000000700A53DD218952C0006F87496268124012DDC1BB218952C02EBE3BDA61681240E7938999218952C00626B1B961681240F2F76177218952C0CA6B96E861681240A3780256218952C093B2EF6562681240AC521E36218952C000C41B2F63681240C09D2577218952C000C262B65F681240000A2AE7218952C04066C0D0586812405810EB09228952C04076289B566812403CBBF242228952C000261EE8526812404C2C106D228952C00034891C50681240D4FA8A84228952C040B188874E681240786C51BA228952C040A794D74A68124068C38730238952C0800BBE6642681240747A3B48238952C0003DB9A64068124030BB383B238952C080561837426812406CA72420238952C04050967845681240985D2F01238952C0C0B961BD4C681240F745860F238952C04CA0EDE6516812402AC5DC28238952C0ED6B82E556681240B18DBC4C238952C06868CEA15B68124068207E7A238952C0005DB50560681240307B39E9268952C040A32D7CB7681240FCA23637278952C0001828A0BE6812402032532A268952C080957177C968124000EAD519228952C000CC5AF6636812408F2485FC218952C0FF54FBFD62681240700A53DD218952C0006F874962681240;376;8011289;511870;Tue Jul 07 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 05;KENNEDY;CARVAJAL;LAS DELICIAS;Julio;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING. MARY LUZ MORA / ING.JESUS FORERO;288.77;289
380;0106000020E610000001000000010300000001000000360000009C3D769B608752C0802C7D2F58B01240C4E8E807618752C08016AA6D53B0124014AA1954668752C0008510CADAB01240445C3254668752C0C05A9DCCDAB01240D40B4A40688752C0C0FEFF740DB112408C5CB0B4698752C040AF963B33B11240F88696306B8752C0C05C861158B11240E0E005236C8752C0000E6E546FB11240841EECA56D8752C04079415395B11240B0EE63286E8752C08064258DA1B11240E8764F4E6F8752C0808801C4BDB11240E52DC6DC6F8752C0C0A1F6FDC9B112406C0639A1708752C0003F0485DCB11240630E173F718752C06B0BEBD2E9B112406455A4F2718752C04035BE01F6B1124007EEAEA9728752C0AE710E6401B212402CCB0E59738752C0C07EA93C0DB212409DDFE8AD738752C0B48F048213B212409C74AAF7738752C035640B4E1AB2124054717F35748752C00047328D21B212408A4C2FBC748752C07CFFB3DA32B21240B832EC53758752C0803FC29843B2124088BBF7F2758752C0DD2F95AF54B2124081B30486768752C066128A3066B21240286CCC0C778752C08014371378B21240D477E634778752C08096A5597DB21240F0A3BBCD768752C000703F8A81B21240C0D74EC9768752C000CF53EA80B212405C16E2AA758752C040CB2BAC5BB21240F0CAEEFC748752C040879B7C48B2124074D4F681748752C04093D5723CB212404CC57C2F748752C0409F1EDB32B21240E6AFC8E5738752C0AD15436A28B212400D7B698C738752C08335B4761EB21240EEB63124738752C04020E41715B21240F0ED16AE728752C08084E6630CB2124098DACD17718752C000BB945AF2B112408860CF16718752C0804D014AF2B112405010B014718752C000278126F2B112409C4B55AF708752C08A0B4579EAB112409CFEBB57708752C040C07729E2B1124060C8BE1F6F8752C0817C5C32C6B1124008CC598B6E8752C080BFD6AFB8B1124044AE218C6D8752C0C07883F39FB11240E0A0638B6D8752C0C077DBE09FB112407CDBF2156D8752C0C1594F4A94B11240F02A8CA96B8752C000DDC61D71B112405C709E9B6A8752C040233D9856B112406CADB54B698752C04064474D35B11240F4FF4642688752C000776FA01BB11240692F60D1668752C0403C5492F6B0124058257CE2658752C080E4985FDFB0124088D168E2658752C001ADA65DDFB012409C3D769B608752C0802C7D2F58B01240;377;9004521;34012295;Tue Aug 18 00:00:00 COT 2020;Mantenimiento Ciclorutas;Acuerdo 257/D- Cicloruta Anden;Zona 02;ENGATIVA;ALAMOS;SAN IGNACIO;Agosto;Parcheo;JESICA ALEXANDRA ARDILA DÍAZ;ING. ORLANDO RIVERA/ING. SANTIAGO VARGAS;874.92;0
381;0106000020E6100000010000000103000000010000000B0000005860ADDFCE8952C04067F78BA97712407C7B28E8CE8952C040BEE430AC77124070DC4FE4CE8952C0003EE63BAC771240DC93E23ECD8952C000BE57ECB07712402801CB26CD8952C08091ED30B17712404CC61486CA8952C0C0E949ADB8771240BC7CF47ECA8952C0804F458FB77712401016E07ECA8952C040DB1D8CB77712400CEE8F76CA8952C0008C733EB6771240483624DCCE8952C040BE2A96A97712405860ADDFCE8952C04067F78BA9771240;378;8007487;24137004;Fri Jan 24 00:00:00 COT 2020;Mantenimiento Ciclorutas;Acuerdo 257/D- Cicloruta Anden;Zona 05;KENNEDY;TIMIZA;TIMIZA;Enero;Parcheo;JESICA ALEXANDRA ARDILA DÍAZ;ING. ORLANDO RIVERA/ING. SANTIAGO VARGAS;52;0
382;0106000020E61000000100000001030000000100000006000000BCB3515E8A8852C00096E71F4F4F12400888223A8A8852C000722A89544F124078814D2E8A8852C080645533544F1240F015AA89888852C040EF9922494F1240B852E0AE888852C080013DC8434F1240BCB3515E8A8852C00096E71F4F4F1240;379;6001205;34012906;Wed Feb 26 00:00:00 COT 2020;Mantenimiento Ciclorutas;Ciclo - Infraestructura;Zona 04;TUNJUELITO;VENECIA;TUNAL ORIENTAL;Febrero;Mantenimiento Rutinario;JESICA ALEXANDRA ARDILA DÍAZ;ING. ORLANDO RIVERA/ING. SANTIAGO VARGAS;0;0
383;0106000020E6100000010000000103000000010000001300000068598483198652C0C0F9F1DEEB841240FC842C6B188652C0802B5E09FD841240E88C556E158652C0C071EE1EBC8412405CAD297C158652C04006FA32BB84124058913174158652C0C0C32509BA841240D88CD310158652C000BD5D6EB184124088F6ED2E148652C040A298299E84124080C6CD22148652C04013C5329D841240284E5A5D138652C000F816808D841240A00A6532138652C000387E6E8984124020A50C2E138652C000BEBD1A898412409CEED60E138652C0C025092288841240B4578182148652C0403A606B7784124070D2BC62148652C0807B41137A8412407437964A148652C000D298D97F841240F91C1A74148652C080E82A40888412405C180A54168652C0804C9298B484124048C8902E198652C0C14F0759E684124068598483198652C0C0F9F1DEEB841240;380;13002875;91020454;Wed Sep 02 00:00:00 COT 2020;Situaciones Imprevistas y Apoyo Interinstitucional;Ciclocarriles;Zona 02;TEUSAQUILLO;QUINTA PAREDES;ORTEZAL;Septiembre;Parcheo;JESICA ALEXANDRA ARDILA DÍAZ;ING. ORLANDO RIVERA/ING. SANTIAGO VARGAS;231.47;231
